execucao,funcao_objetivo,is_rotated,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
1,f1,False,10,10,4999,"[-100, 100]",0.40006,True,"[-50.0, 50.0]",2.0,2.0,"[-4.54514151e-67 -8.17475930e-73  2.38247318e-66 -1.82830306e-67
 -6.66549360e-69  2.19548302e-68  1.00175583e-67  1.17117469e-67
 -4.90329521e-68 -1.55747149e-68]",1.624460479910637e-129,815
2,f1,False,10,10,4999,"[-100, 100]",0.40006,True,"[-50.0, 50.0]",2.0,2.0,"[-1.30444863e-73  6.74084295e-74 -3.27543848e-76 -1.07609431e-74
 -2.11829154e-75 -2.63659448e-74  8.55888633e-75 -7.77284664e-76
  2.44669555e-75 -8.11644609e-76]",4.25852383050133e-144,719
3,f1,False,10,10,4999,"[-100, 100]",0.40006,True,"[-50.0, 50.0]",2.0,2.0,"[ 4.86471949e-73 -3.45746918e-74 -4.70668236e-73  1.03716712e-72
 -2.61161328e-73 -8.22550708e-75 -6.43871824e-74 -2.99248137e-74
 -1.33648918e-74  5.06404419e-75]",2.915396827632184e-142,791
4,f1,False,10,10,4999,"[-100, 100]",0.40006,True,"[-50.0, 50.0]",2.0,2.0,"[-3.12115016e-71 -2.16282871e-71 -3.82258642e-71 -6.53803027e-72
  4.48822012e-71 -6.07900805e-72 -5.51413446e-72 -1.03290802e-72
  6.92296199e-73  4.30292958e-73]",1.6955102260523802e-138,686
5,f1,False,10,10,4999,"[-100, 100]",0.40006,True,"[-50.0, 50.0]",2.0,2.0,"[-4.54577433e-71  1.50541109e-70 -1.46846569e-71 -5.19125676e-71
  1.40194256e-72  3.41429167e-71  7.10459678e-72 -8.31780613e-72
 -2.17577393e-72 -8.16441185e-73]",8.296376390916616e-138,978
6,f1,False,10,10,4999,"[-100, 100]",0.40006,True,"[-50.0, 50.0]",2.0,2.0,"[-1.83603502e-73  1.01028518e-71  1.57314224e-73  2.12529807e-73
  2.39549372e-74 -1.09246839e-74 -2.20888750e-74  1.15513270e-77
 -5.82375485e-74 -2.01745766e-74]",1.6219565502643737e-141,753
7,f1,False,10,10,4999,"[-100, 100]",0.40006,True,"[-50.0, 50.0]",2.0,2.0,"[-3.14203440e-69 -4.38690737e-67 -1.56124378e-68 -9.79476343e-69
 -1.71895428e-67  2.95919930e-69  3.01204711e-69 -1.05956786e-70
  3.18758147e-69 -1.18107183e-70]",1.6936223183749846e-131,809
8,f1,False,10,10,4999,"[-100, 100]",0.40006,True,"[-50.0, 50.0]",2.0,2.0,"[ 8.48180711e-68 -1.53186836e-67  8.55068518e-70  3.85704469e-67
  1.22788223e-68  3.36256128e-68  1.69891329e-69 -5.64472989e-69
 -3.17947894e-69 -2.57584170e-70]",2.12509828781359e-131,987
9,f1,False,10,10,4999,"[-100, 100]",0.40006,True,"[-50.0, 50.0]",2.0,2.0,"[-1.76434619e-76  1.24858263e-76  1.14473252e-76 -4.35218092e-79
 -3.95524078e-79 -1.40083001e-78 -8.09747006e-79  1.53210480e-79
 -1.21013553e-80  7.86218981e-80]",4.0398809644487214e-151,666
10,f1,False,10,10,4999,"[-100, 100]",0.40006,True,"[-50.0, 50.0]",2.0,2.0,"[-1.81525653e-74 -2.56720278e-76  5.74727091e-76 -1.15368643e-75
  1.34531907e-75  2.22129466e-76  2.88790422e-76  8.99968228e-77
 -2.71763756e-78 -6.26176574e-78]",2.6671557127918215e-147,1161
