execucao,funcao_objetivo,is_rotated,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
1,f8,False,10,10,4999,"[-100, 100]",0.4001,True,"[-50.0, 50.0]",2.0,2.0,"[ 9.94958638e-01 -1.18952488e-09 -8.80875703e-10 -1.43081264e-09
 -3.60337326e-10  1.38090228e-09 -9.73246764e-10  9.94958639e-01
 -1.43254476e-09  1.98991223e+00]",5.969749304740667,6657
2,f8,False,10,10,4999,"[-100, 100]",0.4001,True,"[-50.0, 50.0]",2.0,2.0,"[-9.94958639e-01  1.47081721e-09  3.53830558e-10 -3.50796775e-10
 -7.32247703e-10 -1.05104160e-10 -9.94958639e-01  9.94958638e-01
 -1.03065938e-09  1.13203599e-09]",2.9848771712798694,6388
3,f8,False,10,10,4999,"[-100, 100]",0.4001,True,"[-50.0, 50.0]",2.0,2.0,"[-6.65599338e-10 -9.94958639e-01  1.21614392e-09 -9.94958639e-01
  6.30782994e-10 -8.67001425e-10  1.26482091e-10 -3.29434389e-10
 -4.89181393e-10  3.92107633e-10]",1.98991811418658,7445
4,f8,False,10,10,4999,"[-100, 100]",0.4001,True,"[-50.0, 50.0]",2.0,2.0,"[-9.94958639e-01  9.94958637e-01 -1.29398423e-09  9.94958637e-01
  3.90805216e-10  9.94958637e-01  1.27691605e-09 -1.47836087e-09
 -9.94958638e-01 -9.94958636e-01]",5.969754342559742,7172
5,f8,False,10,10,4999,"[-100, 100]",0.4001,True,"[-50.0, 50.0]",2.0,2.0,"[ 9.94958638e-01  5.75767241e-10  9.94958638e-01  9.94958641e-01
 -9.94958635e-01 -9.94958637e-01 -9.94958638e-01 -9.94958638e-01
 -9.94958635e-01 -1.19813177e-09]",7.959672456746325,7460
6,f8,False,10,10,4999,"[-100, 100]",0.4001,True,"[-50.0, 50.0]",2.0,2.0,"[-1.39905181e-09 -9.94958637e-01 -4.38762234e-10 -9.94958636e-01
  1.15343291e-09  7.03799677e-10 -1.36439544e-09 -1.36914883e-09
 -1.36898170e-09  7.06551805e-10]",1.98991811418658,6984
7,f8,False,10,10,4999,"[-100, 100]",0.4001,True,"[-50.0, 50.0]",2.0,2.0,"[-6.28483166e-10 -9.94958637e-01 -9.94958636e-01  5.77322876e-10
 -9.94958637e-01  5.73910849e-10  7.68172977e-11  2.28426367e-10
 -5.05650485e-10  1.10111206e-09]",2.9848771712798694,7049
8,f8,False,10,10,4999,"[-100, 100]",0.4001,True,"[-50.0, 50.0]",2.0,2.0,"[-9.63886401e-10 -1.44513542e-10  1.98991223e+00  9.94958638e-01
  1.34900659e-09 -9.94958638e-01 -1.98991223e+00 -7.89564182e-10
  9.01153041e-10  9.48642827e-10]",9.949580495294754,6595
9,f8,False,10,10,4999,"[-100, 100]",0.4001,True,"[-50.0, 50.0]",2.0,2.0,"[ 9.94958638e-01  1.44333670e-09 -9.94958636e-01 -1.08741839e-09
  1.23628268e-10  6.27873142e-10  1.37984280e-09 -1.03293176e-09
 -6.15861016e-10  1.15933485e-09]",1.9899181141865812,6913
10,f8,False,10,10,4999,"[-100, 100]",0.4001,True,"[-50.0, 50.0]",2.0,2.0,"[-9.94958638e-01  1.98991223e+00 -1.83850455e-10  9.94958638e-01
 -4.30958609e-10  9.94958638e-01  1.22489033e-09  9.94958637e-01
  2.39190817e-10 -3.47291303e-10]",7.959667418927245,6856
