execucao,funcao_objetivo,is_rotated,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
1,f8,True,10,10,9999,"[-100, 100]",0.40003,True,"[-50.0, 50.0]",2.0,2.0,"[ 16.35011537  54.2646244   16.75956428   0.46840832 -92.94607936
 -58.79972709  23.81631934  -5.13627994  37.9237979  -51.37874829]",810.9445445902072,16085
2,f8,True,10,10,9999,"[-100, 100]",0.40003,True,"[-50.0, 50.0]",2.0,2.0,"[  2.54029915  72.03153579 -41.22037893 -23.13018889 -92.95410988
 -44.52586218  18.07862581 -15.08569192  73.95643505 -70.81158819]",805.9697543425598,3352
3,f8,True,10,10,9999,"[-100, 100]",0.40003,True,"[-50.0, 50.0]",2.0,2.0,"[  6.57272854  92.70861141 -38.35997942 -20.40385394 -37.94734071
 -35.45113812  40.54023557 -32.82998365  58.35805353 -50.12692119]",809.9495855331138,1514
4,f8,True,10,10,9999,"[-100, 100]",0.40003,True,"[-50.0, 50.0]",2.0,2.0,"[  5.41278831  49.19032743 -32.16674184 -16.75237923 -56.21173522
 -60.73749559  -6.61595534 -32.75226367  63.72083263 -81.77978283]",807.9596674189273,11420
5,f8,True,10,10,9999,"[-100, 100]",0.40003,True,"[-50.0, 50.0]",2.0,2.0,"[ 20.76967739  46.35478444  41.46790198   3.13238126 -86.42363267
 -30.86336832  11.55834417 -11.43301416  69.15751065 -65.5359662 ]",815.9193298000355,2621
