execucao,funcao_objetivo,is_rotated,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
1,f8,False,10,10,4999,"[-100, 100]",0.40006,True,"[-50.0, 50.0]",2.0,2.0,"[-9.94958639e-01  9.94958637e-01  3.02638174e-10 -9.94958638e-01
 -5.35376618e-10  9.94958637e-01  9.94958638e-01  9.94958637e-01
  1.33070249e-09 -1.35856346e-09]",5.969754342559741,546
2,f8,False,10,10,4999,"[-100, 100]",0.40006,True,"[-50.0, 50.0]",2.0,2.0,"[-1.31997358e-09 -9.94958639e-01 -9.94958639e-01  9.94958638e-01
 -7.59837518e-10  9.94958638e-01  1.03029128e-09 -6.12328852e-10
 -1.40637774e-09 -1.20709776e-09]",3.979836228373161,517
3,f8,False,10,10,4999,"[-100, 100]",0.40006,True,"[-50.0, 50.0]",2.0,2.0,"[ 9.94958637e-01  1.68684476e-10  4.47137121e-10 -8.38850599e-10
 -6.93426254e-10  9.94958638e-01 -3.37081433e-10  9.94958638e-01
  1.35399692e-09 -9.94958637e-01]",3.979836228373159,625
4,f8,False,10,10,4999,"[-100, 100]",0.40006,True,"[-50.0, 50.0]",2.0,2.0,"[-2.94586429e-10 -9.94958637e-01 -1.98991223e+00  9.94958638e-01
  5.11420692e-10 -9.94958638e-01 -4.29485231e-10  1.98991223e+00
 -5.92981903e-11  8.64187467e-11]",10.944539552388044,369
5,f8,False,10,10,4999,"[-100, 100]",0.40006,True,"[-50.0, 50.0]",2.0,2.0,"[-6.82425900e-11 -9.94958638e-01 -3.72185666e-10  1.08680000e-09
  9.94958635e-01 -4.39698476e-10 -9.94958638e-01 -1.22198336e-09
  9.94958637e-01  5.87686983e-11]",3.979836228373161,495
6,f8,False,10,10,4999,"[-100, 100]",0.40006,True,"[-50.0, 50.0]",2.0,2.0,"[-7.51833577e-10  1.06586806e-09  9.94958637e-01  2.98485570e+00
  1.98991223e+00  7.58342639e-10 -1.38344155e-09  4.60438713e-10
  7.46582721e-10 -1.43662143e-09]",13.929391489134384,435
7,f8,False,10,10,4999,"[-100, 100]",0.40006,True,"[-50.0, 50.0]",2.0,2.0,"[ 1.98991223e+00  4.45118654e-10  9.94958637e-01  9.94958638e-01
  1.16990818e-09 -9.94958638e-01  1.36997323e-09  2.77155282e-10
  9.94958640e-01  9.94958638e-01]",8.95462647602054,350
8,f8,False,10,10,4999,"[-100, 100]",0.40006,True,"[-50.0, 50.0]",2.0,2.0,"[-3.77792795e-11 -9.94958638e-01  6.01250748e-10 -8.28459473e-10
 -9.94958638e-01  4.97162883e-10  8.65636230e-10  5.64301445e-10
  1.22017967e-11  9.94958638e-01]",2.9848771712798694,344
9,f8,False,10,10,4999,"[-100, 100]",0.40006,True,"[-50.0, 50.0]",2.0,2.0,"[-2.22502042e-11 -9.94958639e-01  5.75876546e-10  1.48208940e-09
 -9.94958637e-01  6.04382098e-10 -9.94958638e-01 -7.47304215e-10
  4.40388254e-10  8.57395918e-11]",2.9848771712798694,354
10,f8,False,10,10,4999,"[-100, 100]",0.40006,True,"[-50.0, 50.0]",2.0,2.0,"[ 9.94958639e-01 -9.94958637e-01 -1.17092280e-09 -1.15859768e-09
 -1.41977530e-09 -9.94958637e-01  7.13436701e-10 -7.52113609e-10
  2.00697952e-10 -4.86555894e-10]",2.9848771712798694,531
