execucao,funcao_objetivo,is_rotated,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
1,f1,False,10,10,4999,"[-100, 100]",0.7,False,"[-50.0, 50.0]",2.0,2.0,"[ 7.44154174e-20 -4.53405089e-20 -9.69242843e-21  1.74629803e-20
  4.45584662e-21  5.71389725e-21 -5.70414705e-22 -2.85792632e-22
 -3.40157131e-22 -3.38206010e-22]",2.73510620859724e-37,874
2,f1,False,10,10,4999,"[-100, 100]",0.7,False,"[-50.0, 50.0]",2.0,2.0,"[ 1.05348007e-18  4.70025667e-19 -8.82555705e-19 -3.99966563e-20
 -6.73909750e-21  4.23208084e-20 -6.81469346e-21  3.00317959e-22
  1.24539313e-21  2.91977364e-22]",2.384399603239776e-35,797
3,f1,False,10,10,4999,"[-100, 100]",0.7,False,"[-50.0, 50.0]",2.0,2.0,"[ 2.13259682e-19  4.75198886e-20  3.70659315e-20 -1.89122821e-20
  2.87038466e-20 -1.07463690e-20 -1.18543762e-21  5.50952887e-21
 -6.88190009e-23 -6.99238781e-22]",2.665515008852255e-36,850
4,f1,False,10,10,4999,"[-100, 100]",0.7,False,"[-50.0, 50.0]",2.0,2.0,"[-8.06965676e-19  3.85670602e-19 -1.70214028e-19 -3.46850560e-20
  8.80596920e-21  2.15300447e-21  6.47247871e-21 -3.36888242e-21
 -5.68713191e-22 -5.56500574e-22]",3.457173230048414e-36,762
5,f1,False,10,10,4999,"[-100, 100]",0.7,False,"[-50.0, 50.0]",2.0,2.0,"[-9.18688327e-20  9.74460439e-20  6.75428263e-19 -8.91201981e-20
  1.23448012e-20 -6.62060595e-20  4.96725503e-22 -1.44194331e-20
  2.52568174e-21 -3.83926451e-21]",4.59570453505707e-35,968
6,f1,False,10,10,4999,"[-100, 100]",0.7,False,"[-50.0, 50.0]",2.0,2.0,"[ 1.15091837e-18 -2.51325759e-18 -1.22761624e-18  6.01841087e-20
 -9.29193190e-20 -7.04525835e-20 -1.31749990e-21  9.87928091e-22
  3.16640604e-21 -2.39585806e-21]",8.613756839709654e-35,939
7,f1,False,10,10,4999,"[-100, 100]",0.7,False,"[-50.0, 50.0]",2.0,2.0,"[ 5.32699184e-19 -1.28301450e-19  1.33182086e-19  1.37045282e-19
 -2.26076444e-20 -1.91029083e-20  4.09927466e-21  1.83217872e-21
  1.63855373e-21  5.82387179e-23]",4.549570781374466e-36,913
8,f1,False,10,10,4999,"[-100, 100]",0.7,False,"[-50.0, 50.0]",2.0,2.0,"[ 5.44553427e-19  5.68002126e-19  2.43574908e-19  2.86005030e-20
 -2.77786034e-21  3.99964351e-21  2.86955173e-21 -5.00562798e-21
 -8.36450610e-22 -2.10132701e-21]",9.003746203458223e-36,1197
9,f1,False,10,10,4999,"[-100, 100]",0.7,False,"[-50.0, 50.0]",2.0,2.0,"[-2.10118849e-19  1.72773353e-20 -9.77187353e-23 -7.28939911e-21
  1.71244430e-23 -1.03269875e-21  1.94689670e-22  2.57878899e-23
  2.38068020e-23  4.48946302e-24]",5.369915157446635e-38,942
10,f1,False,10,10,4999,"[-100, 100]",0.7,False,"[-50.0, 50.0]",2.0,2.0,"[-6.31068528e-21  5.30307427e-20  4.79637234e-21 -9.84654046e-22
 -1.81269991e-21 -1.06712324e-21 -1.33119213e-23 -2.08834173e-22
 -4.70471960e-23  2.22132505e-23]",2.0660649421312217e-38,715
