execucao,funcao_objetivo,is_rotated,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
1,f1,True,10,10,9999,"[-100, 100]",0.40003,True,"[-50.0, 50.0]",2.0,2.0,"[ 53.03988552  65.04827299 -65.44265239  66.41205079  20.09979335
 -52.83287297 -36.35938674   1.41035226  71.5471239   88.15593375]",4735.463886431821,3838
2,f1,True,10,10,9999,"[-100, 100]",0.40003,True,"[-50.0, 50.0]",2.0,2.0,"[ 55.99505365  65.0412973  -57.38782419  66.21126826  20.28436981
 -40.19641545 -36.22541222   9.92629355  73.85857167 103.23826202]",2242.464947473145,7237
3,f1,True,10,10,9999,"[-100, 100]",0.40003,True,"[-50.0, 50.0]",2.0,2.0,"[ 54.57878545  64.68691071 -57.70947751  65.90703146  23.39860577
 -45.93772401 -33.43423705   9.58575281  73.76510562  96.29496387]",1487.5758445194758,5365
4,f1,True,10,10,9999,"[-100, 100]",0.40003,True,"[-50.0, 50.0]",2.0,2.0,"[ 52.0159473   63.74601214 -41.19493849  64.84861239  33.47601868
 -57.54905471 -24.12695626  27.04253414  78.49887619  82.62603818]",45622.9381957804,20220
5,f1,True,10,10,9999,"[-100, 100]",0.40003,True,"[-50.0, 50.0]",2.0,2.0,"[ 50.87626814  64.5806389  -55.75143328  65.90719656  24.2344187
 -62.27359477 -32.67753031  11.65489634  74.33001775  76.94239198]",2193.004481689707,8437
