execucao,funcao_objetivo,is_rotated,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,perc_mutation,perc_crossover,crossover_type,best_ind,best_fitness,out_bounds
1,f8,True,10,10,10000,"[-100, 100]",0.9,0.4,,"[ 14.30750974  46.93170188 -23.9037177   -8.64316322 -68.31145775
 -63.32765635  26.06019265 -10.43445126  63.75862828 -61.70908574]",802.5662482791844,35499
2,f8,True,10,10,10000,"[-100, 100]",0.9,0.4,,"[  9.44520713  42.65198087 -14.28417446 -32.23434114 -75.81608992
 -51.66279465  20.31159684 -35.39559822 100.         -61.09516827]",806.2088110929176,26208
3,f8,True,10,10,10000,"[-100, 100]",0.9,0.4,,"[  9.4452074   49.19032769 -32.16674182  -8.6357364  -56.21173504
 -51.66279449  26.04928994 -32.7522637   63.75778201 -61.09516827]",800.9949590570933,17101
4,f8,True,10,10,10000,"[-100, 100]",0.9,0.4,,"[  9.48026814  56.64494382 -24.37806359 -20.40606848 -71.33089835
 -51.67849657  40.53224185 -27.03260185  58.40519047 -61.09313593]",800.9995619617338,48013
5,f8,True,10,10,10000,"[-100, 100]",0.9,0.4,,"[ 11.46150165  62.75133265  -9.68627457 -14.02608727 -60.19413956
 -47.12552373  15.84594884 -25.67162925  48.1226642  -50.75303417]",802.9848773203498,36886
