execucao,funcao_objetivo,is_rotated,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
1,f1,False,10,10,,"[-100, 100]",0.40002,True,"[-50.0, 50.0]",2.0,2.0,"[ 1.19230800e-65 -1.82322518e-68 -1.60577381e-68 -3.97721384e-67
 -9.11874542e-71  1.62685987e-70 -5.14376291e-75  2.61933754e-67
 -1.53153723e-68  1.07563630e-70]",3.393092551796302e-129,220
2,f1,False,10,10,,"[-100, 100]",0.40002,True,"[-50.0, 50.0]",2.0,2.0,"[ 1.23939079e-77  6.14442834e-81  3.17965105e-77 -5.61837567e-79
 -3.08109939e-78 -4.19202827e-86 -5.81878057e-80  1.61862991e-86
  5.24748156e-82 -2.65097359e-81]",2.6414185473537437e-152,201
3,f1,False,10,10,,"[-100, 100]",0.40002,True,"[-50.0, 50.0]",2.0,2.0,"[-7.95098877e-82 -3.62209444e-76 -1.28080710e-80 -9.21234880e-74
 -9.52807451e-75 -2.15744023e-75  1.74012237e-76  3.84146362e-76
  4.41066025e-77  1.18508300e-76]",9.22456189120454e-145,160
4,f1,False,10,10,,"[-100, 100]",0.40002,True,"[-50.0, 50.0]",2.0,2.0,"[ 9.87292534e-93  4.51202499e-95  4.18466121e-99 -5.47732797e-97
 -9.51791006e-95 -7.13622021e-92 -3.44805063e-95  3.90656093e-95
 -5.46234304e-96 -2.02024692e-98]",1.0971787155365058e-179,234
5,f1,False,10,10,,"[-100, 100]",0.40002000000000004,True,"[-50.0, 50.0]",2.0,2.0,"[-1.06188449e-106 -1.57254279e-106 -4.73874935e-107 -1.30481246e-107
 -1.08319009e-107  6.68077874e-108 -6.68363428e-108 -2.23702723e-109
 -1.37650386e-108 -8.77787967e-110]",1.2070323222323238e-210,343
