execucao,funcao_objetivo,is_rotated,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,perc_mutation,perc_crossover,crossover_type,best_ind,best_fitness,out_bounds
1,f1,True,10,10,10000,"[-100, 100]",0.9,0.4,,"[  42.14724038  100.          -59.6821096    39.21935248  -76.81546838
 -100.         -100.            7.50104282   73.2010936    32.03097728]",602272.2792370234,3731
2,f1,True,10,10,10000,"[-100, 100]",0.9,0.4,,"[  42.1472082    64.92676627  -59.68202124   66.13963273   21.17752011
 -100.          -35.44034128    7.50112037   73.20111048   32.03093639]",3230.086591036662,6080
3,f1,True,10,10,10000,"[-100, 100]",0.9,0.4,,"[ 50.37476005  64.91979344 -59.62144921  66.08945634  20.82324461
 -64.32716005 -35.86831332   7.57760343  73.22102645  74.46401173]",113.14465016228613,22093
4,f1,True,10,10,10000,"[-100, 100]",0.9,0.4,,"[  42.14715389   64.92664503  -59.68267759   66.13909785   21.17926287
 -100.          -35.43861061    7.50052526   73.20095009   32.03087179]",3230.0869970648305,9398
5,f1,True,10,10,10000,"[-100, 100]",0.9,0.4,,"[ 49.90749073  64.94094768 -59.77993394  66.05358497  21.27861988
 -65.99665446 -35.34220115   7.40058948  73.17116083  72.37599217]",130.32256877912783,18682
