execucao,funcao_objetivo,is_rotated,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
1,f8,True,10,10,9999,"[-100, 100]",0.40005,True,"[-50.0, 50.0]",2.0,2.0,"[ 12.31768579  43.09505528 -46.81983542   5.85871639 -67.33917481
 -67.87445122  34.01995427 -34.14788276  53.55912891 -72.0634154 ]",804.9747952854665,29988
2,f8,True,10,10,9999,"[-100, 100]",0.40005,True,"[-50.0, 50.0]",2.0,2.0,"[  18.75346277   34.60845336  -20.37399636  -16.75237939 -100.09108733
  -35.40073026   -6.61595536  -13.61239206   63.72083266  -75.87829955]",809.949590570933,37138
3,f8,True,10,10,9999,"[-100, 100]",0.40005,True,"[-50.0, 50.0]",2.0,2.0,"[ -4.75174157  55.28559998 -17.51364792 -16.68999004 -45.08429555
 -56.25056447  28.10368153 -31.35664446  16.88881758 -45.68612339]",809.9495855331139,35226
4,f8,True,10,10,9999,"[-100, 100]",0.40005,True,"[-50.0, 50.0]",2.0,2.0,"[ 38.99897323  47.24321328 -23.6036842    0.46840826 -69.24874072
 -17.20092068  23.81631906 -10.20929124  37.92379804 -60.26031811]",808.9546264760205,33776
5,f8,True,10,10,9999,"[-100, 100]",0.40005,True,"[-50.0, 50.0]",2.0,2.0,"[ 27.67458531  86.16919458 -20.47724865 -28.52049713 -57.66222484
 -38.0003008    7.87499025 -34.83742658  58.32110428 -55.81954612]",806.9647133996531,36521
