execucao,funcao_objetivo,is_rotated,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
1,f1,False,10,10,4999,"[-100, 100]",0.9,False,"[-50.0, 50.0]",2.0,2.0,"[ -7.55278468 -22.69250668  21.03782513  12.32909746  20.6852819
   8.30599786   0.24951369  -0.99476136   0.33982113  -0.50650995]",702406.3252389146,41830
2,f1,False,10,10,4999,"[-100, 100]",0.9,False,"[-50.0, 50.0]",2.0,2.0,"[-2.00324781e+01  4.61864276e+01  8.46873021e+01 -1.22199212e+01
 -3.57953032e+00 -1.03924281e+01  1.69319862e+00 -1.30286801e+00
 -8.33882519e-02  1.19542235e-01]",541628.834235582,39357
3,f1,False,10,10,4999,"[-100, 100]",0.9,False,"[-50.0, 50.0]",2.0,2.0,"[ -2.49745016 -68.45166688  67.57242604  82.2184852   -6.27441051
  -0.36455276  -2.19032505   0.89390954   0.17330174   0.63073454]",1304036.1273962413,41636
4,f1,False,10,10,4999,"[-100, 100]",0.9,False,"[-50.0, 50.0]",2.0,2.0,"[-1.33286658e+02  2.86482597e+01  1.07234916e+02 -3.53867404e+01
  1.85346214e+01 -4.97603243e+00 -1.35075593e+00  1.06103313e+00
 -1.19389953e-01 -9.89071781e-02]",690695.2516128434,41039
5,f1,False,10,10,4999,"[-100, 100]",0.9,False,"[-50.0, 50.0]",2.0,2.0,"[-25.95620846 -60.24755727  -2.67525378  13.64268756   8.07006806
  -2.65601391   4.63474354  -0.38494742   0.7502629   -0.13264687]",442268.8876085435,41781
6,f1,False,10,10,4999,"[-100, 100]",0.9,False,"[-50.0, 50.0]",2.0,2.0,"[-2.55637861e+01  8.87264002e+01  1.27486136e+02 -5.45781925e+01
  6.22958711e+00  1.81457995e+00  1.06637703e+00  8.31080085e-01
 -1.81011622e-01  4.55422341e-02]",762896.6659896678,41176
7,f1,False,10,10,4999,"[-100, 100]",0.9,False,"[-50.0, 50.0]",2.0,2.0,"[-1.83750366e+02  2.70974898e+01  6.19155515e+01  9.46145224e+00
 -5.09667559e+00  1.64326594e-01  6.72668407e-01  1.19258406e+00
  4.86510876e-01 -1.01459370e-01]",272658.60402421193,41166
8,f1,False,10,10,4999,"[-100, 100]",0.9,False,"[-50.0, 50.0]",2.0,2.0,"[  -5.82989336  -61.84106665 -104.09570993  -33.51690638   -4.45336201
   -4.89550516   -0.19557564   -0.8599552     0.13561462    0.18894865]",498786.4649975519,40410
9,f1,False,10,10,4999,"[-100, 100]",0.9,False,"[-50.0, 50.0]",2.0,2.0,"[ 89.44598022  48.95529074  22.8753549  -46.03057106  22.00275708
  -4.97665457   0.45294714  -1.27794342  -0.61168777   0.49635091]",925178.3095611632,41307
10,f1,False,10,10,4999,"[-100, 100]",0.9,False,"[-50.0, 50.0]",2.0,2.0,"[ 2.80997316e+01 -2.72855645e+01  2.21029300e+01  5.82601878e+00
  1.37866395e+01  1.01509948e+01  1.02800065e+00 -2.16898400e-02
  3.87646569e-01 -1.51878188e-01]",394418.21438298945,40626
