execucao,funcao_objetivo,is_rotated,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
1,f1,False,10,10,4999,"[-100, 100]",0.40002,True,"[-50.0, 50.0]",2.0,2.0,"[-1.99883609e-101 -2.19710290e-100  5.27754353e-099 -9.73381869e-101
  5.12034043e-103 -8.86576961e-102  3.61800189e-107 -7.91828757e-101
 -3.58614293e-104  1.35236020e-103]",8.924474169895133e-196,236
2,f1,False,10,10,4999,"[-100, 100]",0.40002,True,"[-50.0, 50.0]",2.0,2.0,"[-8.18293327e-78  8.15874981e-86  5.31820256e-80 -1.30927375e-78
 -2.70445551e-83 -4.93839257e-80  1.12100787e-83 -3.45953744e-84
  7.36093675e-81 -7.69294609e-81]",3.1455016230447345e-154,201
3,f1,False,10,10,4999,"[-100, 100]",0.40002,True,"[-50.0, 50.0]",2.0,2.0,"[ 1.97685942e-104  1.29157480e-103 -6.37957048e-105 -3.42886608e-105
 -2.19982202e-105  1.26321589e-105  6.50484391e-106  1.16632765e-106
 -1.16557599e-106  3.76796074e-107]",9.476615302161167e-206,245
4,f1,False,10,10,4999,"[-100, 100]",0.40002,True,"[-50.0, 50.0]",2.0,2.0,"[ 6.85926381e-110 -2.33055503e-110 -1.37360129e-110 -3.80301025e-110
  4.07665150e-111  9.87101873e-111  1.94598175e-111 -3.28097109e-112
 -8.41690125e-113 -2.00140664e-113]",4.183472801590338e-217,188
5,f1,False,10,10,4999,"[-100, 100]",0.40002000000000004,True,"[-50.0, 50.0]",2.0,2.0,"[-1.05001930e-107 -1.22067917e-108  3.69985125e-108  3.07721377e-108
 -4.52170153e-109  9.13848403e-110 -1.65649160e-109  2.72246370e-109
 -5.13874780e-110 -2.09453091e-111]",5.7598621780674856e-213,217
