execucao,funcao_objetivo,is_rotated,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
1,f8,False,10,10,4999,"[-100, 100]",0.7,False,"[-50.0, 50.0]",2.0,2.0,"[-2.91957593e-09 -1.45385262e-09  1.60239411e-09  7.62688256e-12
 -9.94958637e-01 -1.13106041e-09 -9.94958637e-01 -1.36382188e-10
  8.06842468e-11  9.18016001e-10]",1.9899181141865807,608
2,f8,False,10,10,4999,"[-100, 100]",0.7,False,"[-50.0, 50.0]",2.0,2.0,"[ 1.02170052e-09 -9.94958638e-01  7.06131294e-10 -7.51256776e-11
 -2.25717037e-09 -2.62472439e-10 -7.55337140e-09  3.13564540e-09
 -9.94958630e-01  3.35383553e-09]",1.989918114186608,956
3,f8,False,10,10,4999,"[-100, 100]",0.7,False,"[-50.0, 50.0]",2.0,2.0,"[-9.21383350e-10  1.42852566e-10  6.54176784e-10  3.64784373e-10
 -9.56553188e-10 -1.78964136e-10 -2.27460246e-10  1.46315608e-09
 -9.94958638e-01 -1.01961203e-09]",0.9949590570932898,627
4,f8,False,10,10,4999,"[-100, 100]",0.7,False,"[-50.0, 50.0]",2.0,2.0,"[-9.94958635e-01  9.94958637e-01  1.42040429e-09  1.98991224e+00
  1.38394780e-09  6.62453151e-10 -9.94958636e-01 -8.80352704e-10
 -6.20598850e-10  4.49468604e-10]",6.964708361833959,739
5,f8,False,10,10,4999,"[-100, 100]",0.7,False,"[-50.0, 50.0]",2.0,2.0,"[ 9.94958639e-01 -8.82300643e-11 -9.94958635e-01  1.13099329e-09
  1.43121477e-09  7.36017788e-11  9.94958637e-01  9.82728758e-10
  1.41855437e-09  9.94958636e-01]",3.9798362283731614,717
6,f8,False,10,10,4999,"[-100, 100]",0.7,False,"[-50.0, 50.0]",2.0,2.0,"[ 2.36803643e-08  1.81757195e-09  1.51058585e-08  9.94958642e-01
  9.94958614e-01  3.81716428e-09  9.94958652e-01 -1.84955125e-08
  3.93453306e-08 -7.10972306e-08]",2.984877171281566,826
7,f8,False,10,10,4999,"[-100, 100]",0.7,False,"[-50.0, 50.0]",2.0,2.0,"[ 1.62181680e-09 -7.06324404e-10  1.98991224e+00 -1.73160952e-10
 -9.48587668e-10 -2.56770846e-10 -2.20184034e-09  9.94958642e-01
 -1.57017841e-09 -1.01031545e-09]",4.974790247647384,843
8,f8,False,10,10,4999,"[-100, 100]",0.7,False,"[-50.0, 50.0]",2.0,2.0,"[-1.45974308e-09  1.98991223e+00 -9.61549187e-10 -7.74011342e-10
  9.94958637e-01 -9.61498445e-10  9.94958640e-01  2.95003362e-10
 -4.53487185e-09 -9.94958635e-01]",6.964708361833964,814
9,f8,False,10,10,4999,"[-100, 100]",0.7,False,"[-50.0, 50.0]",2.0,2.0,"[ 2.91875171e-08  9.74074818e-09  9.94958638e-01  4.68029445e-09
  1.18878385e-09  6.85544604e-09  5.15814129e-09 -9.94958634e-01
 -1.98991224e+00 -5.08679343e-10]",5.969749304740876,842
10,f8,False,10,10,4999,"[-100, 100]",0.7,False,"[-50.0, 50.0]",2.0,2.0,"[-1.98991225e+00 -1.71105644e-08  3.69158561e-08 -1.84677378e-08
 -1.06408173e-08 -1.98991209e+00 -5.73990262e-08 -9.94958641e-01
  6.60590953e-08  8.08644003e-10]",8.954621438207637,481
