execucao,funcao_objetivo,is_rotated,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
1,f8,False,10,10,4999,"[-100, 100]",0.9,False,"[-50.0, 50.0]",2.0,2.0,"[-3.64448176 -4.93136797 -4.34449084 -0.67801645 -0.08262359  8.07832842
  3.45519037 -1.78033331 -6.39580494 -0.26426208]",284.3636541029681,37063
2,f8,False,10,10,4999,"[-100, 100]",0.9,False,"[-50.0, 50.0]",2.0,2.0,"[ 2.48804972  5.79091424 -1.58561472 -2.81093365  0.89944706  2.76280902
  1.34244549  3.02921829  2.09586057  2.34007489]",175.61463203825065,36390
3,f8,False,10,10,4999,"[-100, 100]",0.9,False,"[-50.0, 50.0]",2.0,2.0,"[-2.39822718  5.12318193  1.8910606  -6.13854181  4.18626167 -0.71078873
 -4.73717896  1.02008828  1.87096116  1.92493701]",182.2813120653424,37405
4,f8,False,10,10,4999,"[-100, 100]",0.9,False,"[-50.0, 50.0]",2.0,2.0,"[ 8.19726124 -2.57070583  3.60497742  5.34501999 -4.36179139  0.01057259
  2.57905463  4.60584544  3.20717669  2.01666555]",296.45202194007084,37342
5,f8,False,10,10,4999,"[-100, 100]",0.9,False,"[-50.0, 50.0]",2.0,2.0,"[-6.22196248  2.2538111   3.51457187 -0.31300369  2.64626532  3.06016831
 -2.68413607 -8.03044271 -8.05039971 -2.64267014]",316.1134222933903,37563
6,f8,False,10,10,4999,"[-100, 100]",0.9,False,"[-50.0, 50.0]",2.0,2.0,"[ 2.92939635 -5.96017183  4.91717276 -0.70095993  0.89576469  6.09842284
  6.17100507 -1.25724853  1.8973464   2.30703869]",206.1193275538769,37433
7,f8,False,10,10,4999,"[-100, 100]",0.9,False,"[-50.0, 50.0]",2.0,2.0,"[  0.91501335  -6.88181523   0.70491225   0.45853811   1.72745011
 -10.12725246   5.99478549  -7.04081521  -0.27696763   0.95438014]",304.29841092875387,37577
8,f8,False,10,10,4999,"[-100, 100]",0.9,False,"[-50.0, 50.0]",2.0,2.0,"[ 1.12189944  3.71691083 -5.66606308  2.18036116  3.15161539  5.42454514
 -4.62785625  5.74673529  1.30073231  3.00065534]",255.46449954174,36899
9,f8,False,10,10,4999,"[-100, 100]",0.9,False,"[-50.0, 50.0]",2.0,2.0,"[-3.06311911  6.093098    8.78071454  6.15655784 -0.56912134  0.9889562
  4.68394355  0.84228098  1.0175513  -2.39343274]",262.7594437588608,36455
10,f8,False,10,10,4999,"[-100, 100]",0.9,False,"[-50.0, 50.0]",2.0,2.0,"[-0.17578908  0.91710651  7.52703944 -2.82260293  4.89951651 -5.05039746
  3.64691461  4.60025132  3.8772819  -1.27212764]",249.15569473157595,37608
