execucao,funcao_objetivo,is_rotated,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
1,f1,True,10,10,9999,"[-100, 100]",0.40005,True,"[-50.0, 50.0]",2.0,2.0,"[ 51.50059863  64.79719743 -83.65596879  66.01408344  22.20529762
 -59.17878577 -34.54792571 -17.7824443   66.34726041  80.51329165]",74055.92068276752,32209
2,f1,True,10,10,9999,"[-100, 100]",0.40005,True,"[-50.0, 50.0]",2.0,2.0,"[  39.46331162   63.95064422  -39.82590984   65.22448847   30.28489091
 -111.90688549  -27.16763724   28.44185876   78.87768541   17.94316422]",57073.51867075944,30724
3,f1,True,10,10,9999,"[-100, 100]",0.40005,True,"[-50.0, 50.0]",2.0,2.0,"[ 50.17514989  65.69524057 -50.49482304  66.79685595  13.59014152
 -65.3769449  -42.41786583  17.19161678  75.82841106  73.26635225]",11463.964823372447,27468
4,f1,True,10,10,9999,"[-100, 100]",0.40005,True,"[-50.0, 50.0]",2.0,2.0,"[  32.23778024   64.57485294  -41.11458063   65.93624112   23.74832408
 -141.71150758  -33.21846728   27.1255052    78.51492506  -17.94590916]",59593.048874044376,28865
5,f1,True,10,10,9999,"[-100, 100]",0.40005,True,"[-50.0, 50.0]",2.0,2.0,"[ 49.20917618  64.66315863 -67.1195014   65.84870095  23.79353735
 -69.40360612 -33.06427106  -0.35878659  71.07466044  68.43180459]",7346.083477700378,28250
